realSum,cleanliness_rating,guest_satisfaction_overall,bedrooms,dist,metro_dist,lng,lat,person_capacity,room_type_Entire home/apt,room_type_Private room,room_type_Shared room,room_shared_0,room_shared_1,room_private_0,room_private_1,multi_0,multi_1,biz_0,biz_1
613.268342980339,9.0,84.0,1,0.2272606763176075,0.4598073595219026,4.89248,52.375240000000005,4.0,1,0,0,1,0,1,0,0,1,1,0
238.3239987814309,10.0,98.0,1,5.839438156140002,3.833064537056145,4.97698,52.36234,2.0,0,1,0,1,0,0,1,1,0,1,0
430.24863496824696,10.0,97.0,1,3.0295222155851818,0.9112465307319396,4.85087,52.38181,2.0,1,0,0,1,0,1,0,1,0,1,0
347.9952194596115,6.0,77.0,2,4.416816886287283,0.4468093520238611,4.84034,52.35015,3.0,1,0,0,1,0,1,0,1,0,0,1
330.4197033252877,10.0,98.0,1,2.564051903620257,1.2481531877884884,4.85619,52.3778,2.0,1,0,0,1,0,1,0,1,0,1,0
1179.6686429358142,10.0,99.0,2,0.6265683252747638,0.5815343983346937,4.88428,52.37163,4.0,1,0,0,1,0,1,0,0,1,1,0
259.1802779274952,10.0,98.0,1,5.241484167950498,0.6712405206030825,4.859,52.331,2.0,0,1,0,1,0,0,1,0,1,1,0
277.9274951374406,10.0,97.0,1,3.83291422506462,2.3918012298079425,4.94543,52.36055,2.0,0,1,0,1,0,0,1,1,0,1,0
467.0400487427648,9.0,96.0,2,2.3878907808382155,1.4303944319621709,4.85835,52.37612,3.0,1,0,0,1,0,1,0,1,0,1,0
583.7414758746748,10.0,99.0,1,2.572843321360758,1.4724409675029893,4.87162,52.39226,2.0,1,0,0,1,0,1,0,1,0,1,0
374.944344198908,6.0,88.0,1,0.9445213338246298,0.7271074308544552,4.89075,52.3816,4.0,0,1,0,1,0,0,1,1,0,0,1
372.3666018325405,10.0,97.0,1,3.893254193637553,0.6574336748516322,4.861190000000001,52.3442,2.0,0,1,0,1,0,0,1,1,0,1,0
479.2257399292293,10.0,96.0,1,1.3772429996352762,0.0779166156732898,4.89,52.361,2.0,0,0,1,0,1,1,0,1,0,1,0
454.8543575563003,10.0,98.0,1,2.2849446847498727,1.8275555238239385,4.876519999999999,52.391090000000005,2.0,1,0,0,1,0,1,0,1,0,1,0
206.4537295245237,9.0,95.0,1,6.79281178529689,2.4438170031213318,4.798369999999999,52.35413,2.0,0,1,0,1,0,0,1,1,0,1,0
497.7386169240504,10.0,95.0,1,1.095053365140708,0.9852069073138536,4.88712,52.38237,2.0,0,1,0,1,0,0,1,0,1,1,0
399.5500667869613,10.0,97.0,1,9.335518920505798,0.3804858903310787,4.980569999999999,52.30865,2.0,1,0,0,1,0,1,0,1,0,1,0
761.8400393691562,9.0,93.0,2,1.09118232606682,1.216674871885683,4.87953,52.37845,4.0,0,1,0,1,0,0,1,1,0,1,0
317.0623110632016,8.0,90.0,1,2.6322379401630376,1.1721670782255924,4.86247,52.38767,2.0,0,1,0,1,0,0,1,0,1,1,0
319.40571321444475,10.0,96.0,1,0.3530819578031284,0.4957339182902796,4.89344,52.3764,2.0,0,1,0,1,0,0,1,1,0,1,0
209.03147189089125,10.0,97.0,1,4.687725165015746,3.632031437799635,4.96166,52.36943,2.0,0,1,0,1,0,0,1,0,1,1,0
209.03147189089125,10.0,98.0,1,4.612475562748068,3.625932548901677,4.9604,52.36854,2.0,0,1,0,1,0,0,1,0,1,1,0
640.4518079347597,9.0,96.0,1,1.7326208039228015,0.504430856064857,4.89663,52.35781,2.0,1,0,0,1,0,1,0,1,0,1,0
209.03147189089125,10.0,98.0,1,4.68689685387767,3.595893239791539,4.96173,52.37003,2.0,0,1,0,1,0,0,1,0,1,1,0
934.0800974855296,10.0,96.0,1,1.1199150496750092,0.3824055698576001,4.90714,52.36799,4.0,0,1,0,1,0,0,1,0,1,1,0
210.2031729665128,9.0,88.0,1,2.478895351747357,1.3334441451638506,4.85743,52.37769,2.0,0,1,0,1,0,0,1,0,1,1,0
221.2171630773557,9.0,94.0,1,6.058988674664705,1.7481671673724164,4.80823,52.3569,2.0,0,1,0,1,0,0,1,1,0,1,0
441.2626250790898,10.0,91.0,1,0.7922262181442554,0.7338243167507649,4.8895800000000005,52.38002,2.0,0,1,0,1,0,0,1,0,1,1,0
325.498558807677,8.0,80.0,1,0.9249996021423226,0.7817880235791371,4.88956,52.38126,2.0,0,1,0,1,0,0,1,0,1,1,0
792.7729477655661,10.0,97.0,2,5.902076232094142,1.9405543232877949,4.80772,52.36412,4.0,1,0,0,1,0,1,0,1,0,1,0
213.95261640850188,10.0,93.0,1,7.01790675436861,0.2182564429090288,4.94459,52.3186,2.0,0,1,0,1,0,0,1,1,0,1,0
1557.19072950109,9.0,98.0,2,0.7503945779761707,0.8086828844577545,4.882280000000001,52.37451,4.0,1,0,0,1,0,1,0,1,0,1,0
317.0623110632016,10.0,99.0,1,3.4008968845053844,1.512648825694328,4.91,52.402,2.0,0,1,0,1,0,0,1,1,0,1,0
319.6400534295691,10.0,95.0,1,3.403098485949505,0.7077232272113942,4.90258,52.3432,2.0,1,0,0,1,0,1,0,1,0,1,0
1044.6886790242074,10.0,98.0,1,3.0030686360809,1.6344634192292808,4.93297,52.3617,2.0,1,0,0,1,0,1,0,1,0,1,0
310.9694654699693,9.0,94.0,1,3.571400786708212,2.6197486990397936,4.94479,52.3678,2.0,1,0,0,1,0,1,0,1,0,1,0
295.0343308415157,9.0,92.0,1,4.6654114118221015,2.9774802400833957,4.894430000000001,52.41516,2.0,1,0,0,1,0,1,0,1,0,1,0
344.2457760176224,7.0,82.0,0,4.157070172595494,0.1012318191726814,4.91979,52.33963,2.0,1,0,0,1,0,1,0,1,0,1,0
3004.9445785391235,9.0,95.0,4,1.61529472873922,1.4025393444600294,4.88478,52.38683,4.0,1,0,0,1,0,1,0,1,0,1,0
539.2168350010546,10.0,98.0,1,3.7813310591990335,0.9202137108935404,4.90733,52.34038,2.0,1,0,0,1,0,1,0,1,0,1,0
460.9472031495325,10.0,98.0,1,0.5851829316999698,0.401275176970096,4.888,52.369,2.0,0,1,0,1,0,0,1,1,0,1,0
1376.514423640241,10.0,93.0,2,1.9307016592209525,1.5858252502236687,4.88707,52.39019,4.0,1,0,0,1,0,1,0,1,0,0,1
415.4852014154149,10.0,98.0,1,5.0392331758922175,1.7304866027390526,4.92022,52.41538,4.0,1,0,0,1,0,1,0,0,1,1,0
215.12431748412348,10.0,95.0,1,3.5992221200932195,2.460046063839885,4.945930000000001,52.37431,2.0,0,1,0,1,0,0,1,1,0,1,0
393.4572211937291,10.0,97.0,1,1.4993631412343562,0.2314822152442006,4.90441,52.36167,2.0,0,1,0,1,0,0,1,1,0,1,0
232.23115318819865,10.0,97.0,0,3.716679326293173,1.5569628923100989,4.91,52.405,2.0,0,1,0,1,0,0,1,1,0,1,0
774.2600707707451,10.0,100.0,1,1.8105403189141107,0.5203169404675712,4.89575,52.357040000000005,2.0,1,0,0,1,0,1,0,1,0,1,0
291.0505471844023,9.0,90.0,1,0.6539669819722009,0.3510826980086694,4.89496,52.379,2.0,0,1,0,1,0,0,1,1,0,1,0
604.5977550207392,10.0,95.0,1,1.8831520950903005,0.7067286569629585,4.90042,52.35691,4.0,1,0,0,1,0,1,0,0,1,1,0
467.0400487427648,10.0,97.0,1,1.4071102007540723,1.3814078101685354,4.87254,52.371970000000005,2.0,1,0,0,1,0,1,0,1,0,1,0
744.4988634499567,10.0,92.0,0,2.6780920014537366,1.844094477601163,4.86068,52.35961,2.0,1,0,0,1,0,1,0,1,0,1,0
250.74403018301973,10.0,94.0,1,2.061576554640393,1.558177167802819,4.8684,52.36252,2.0,0,1,0,1,0,0,1,0,1,1,0
544.1379795186652,10.0,97.0,2,1.792237506252496,1.8748732889669992,4.86873,52.37932,4.0,0,1,0,1,0,0,1,0,1,1,0
424.1557893750147,10.0,97.0,1,3.3426480507193443,0.647097191952299,4.90867,52.34474,2.0,1,0,0,1,0,1,0,1,0,1,0
675.6028402034074,10.0,97.0,1,1.2265998445779276,0.4873379813018268,4.89768,52.36257,2.0,1,0,0,1,0,1,0,1,0,1,0
909.4743748974762,10.0,98.0,2,2.6187094013605834,0.4308307558331673,4.89072,52.34974,4.0,1,0,0,1,0,1,0,0,1,1,0
264.1014224451058,10.0,98.0,1,2.85095702392196,1.0720367196207157,4.85345,52.38147,2.0,0,1,0,1,0,0,1,1,0,1,0
